img_file,context,generated_caption,clipscore_gpt4o,context_sim
La_Trobe_Uni_Wikimeetup_March_2020.jpg,Consumer electronics,"A group of nine people are sitting around a large table in an office setting, each with a laptop. They are smiling and appear to be having a meeting or collaboration session, with large windows and greenery visible in the background.",0.7350406795740128,0.21465720236301422
1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017.jpg,Consumer electronics,"A group of four people are in a well-lit office room with large windows showing a view of mountains and water. Two people are standing near a whiteboard with mathematical equations, while two others are seated at a table with laptops, engaging in a collaborative discussion.",0.6763296574354172,0.18767638504505157
Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg,Cooperation,"A group of people are sitting around a table in a classroom setting, each working on their own laptops. There is a large screen at the front of the room displaying a webpage, and various items such as water bottles are on the table.",0.6898120045661926,0.19772793352603912
La_Trobe_Uni_Wikimeetup_March_2020.jpg,Cooperation,"A group of nine people are sitting around a large table in an office setting, each with a laptop. They are smiling and appear to be having a meeting or collaboration session, with large windows and greenery visible in the background.",0.7350406795740128,0.19769585132598877
1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017.jpg,Cooperation,"A group of four people are in a well-lit office room with large windows showing a view of mountains and water. Two people are standing near a whiteboard with mathematical equations, while two others are seated at a table with laptops, engaging in a collaborative discussion.",0.6763296574354172,0.2509312629699707
"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",Dinner,"A dining table is set for a meal with a variety of dishes including sliced turkey, peas, mashed potatoes, a green salad, deviled eggs, and cranberry sauce, all on a plaid tablecloth. Red plastic cups and white dinner plates are arranged at each place setting.",0.8469849079847336,0.49778908491134644
Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,Dinner,"Chefs are busy in a professional kitchen, closely collaborating as they carefully arrange food on a long row of plates, preparing multiple identical dishes. The kitchen is well-equipped, bustling with activity, and the chefs are focused on their task.",0.7675421983003616,0.28841203451156616
"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",Dinner,"A dining table is set with a large roasted turkey as the centerpiece, surrounded by floral china plates, glassware, and a flower arrangement. A person is opening a bottle of champagne, and bookshelves filled with books are in the background under a blue pendant lamp.",1.0009519755840302,0.44696685671806335
wiki_livingroom.jpg,Furniture,Three people are relaxing in a cozy living room with wooden beams and a brick fireplace. They are sitting on floral-patterned sofas around a wooden coffee table.,0.7934395968914032,0.3982686400413513
La_Trobe_Uni_Wikimeetup_March_2020.jpg,Furniture,"A group of nine people are sitting around a large table in an office setting, each with a laptop. They are smiling and appear to be having a meeting or collaboration session, with large windows and greenery visible in the background.",0.7350406795740128,0.3336268961429596
1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017.jpg,Furniture,"A group of four people are in a well-lit office room with large windows showing a view of mountains and water. Two people are standing near a whiteboard with mathematical equations, while two others are seated at a table with laptops, engaging in a collaborative discussion.",0.6763296574354172,0.30772167444229126
Wohnzimmer_Fallada_1.JPG,Furniture,"The image shows a dining room with a round wooden table and four chairs, illuminated by a ceiling light with five lamps. In the background, there's a cabinet displaying china, a large window with sheer curtains, and an open doorway leading to a bright room with a bookshelf and plants.",0.7995538413524628,0.4340619742870331
Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg,Furniture,"A group of people are sitting around a table in a classroom setting, each working on their own laptops. There is a large screen at the front of the room displaying a webpage, and various items such as water bottles are on the table.",0.6898120045661926,0.32888370752334595
"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg",Hairstyle,"Two soccer players in white jerseys from RB Leipzig are involved in a match, with one player attempting to tackle another wearing a red jersey who is seated on the grass, while a referee watches the action in the background.",0.8914926648139954,0.07068637758493423
"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg",Hairstyle,"Two soccer players are competing for the ball on a rainy field. The player in white from Greece is falling to the ground, while the player in red, wearing number 15, is standing and watching the ball.",0.8267129212617874,0.04097764566540718
"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278.jpg",Hairstyle,"A group of soccer players wearing blue Olympique Lyonnais uniforms celebrate a goal on the field, with one player jumping in the air and others embracing each other near the sideline. The background shows a crowd of spectators and sports advertisements.",0.7471907883882523,0.13164439797401428
wiki_livingroom.jpg,Interior design,Three people are relaxing in a cozy living room with wooden beams and a brick fireplace. They are sitting on floral-patterned sofas around a wooden coffee table.,0.7934395968914032,0.2254987359046936
Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire.jpg,Interior design,"A cozy living room with wicker furniture is arranged around a central table, featuring multiple large windows. The room includes a wood-burning stove, shelves with decorative items, and a paper lantern hanging from the ceiling.",0.800609290599823,0.2753225564956665
Wohnzimmer_Fallada_1.JPG,Interior design,"The image shows a dining room with a round wooden table and four chairs, illuminated by a ceiling light with five lamps. In the background, there's a cabinet displaying china, a large window with sheer curtains, and an open doorway leading to a bright room with a bookshelf and plants.",0.7995538413524628,0.2697879374027252
"Oberaargletscher_from_Oberaar,_2010_07.jpeg",Montane Ecosystems,"A glacier flows between steep, rocky mountains under a cloudy sky, leading into a greenish, glacier-fed lake in the foreground. Snow and ice are visible on the peaks and along the glacier's path, while the dark clouds lend a dramatic atmosphere to the scene.",0.8620770275592804,0.23487608134746552
river.jpeg,Montane Ecosystems,"A panoramic view showcases a lush, green valley with a winding river bordered by dense forests. In the background, cloud-covered mountains create a dramatic and tranquil landscape.",0.6653564423322678,0.2882828116416931
"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",Montane Ecosystems,"A scenic view of a large lake surrounded by mountains and greenery, with small towns nestled along the lake's edges. The sky is partly cloudy, adding depth to the landscape.",0.6532013416290283,0.14394883811473846
river.jpeg,Orogeny,"A panoramic view showcases a lush, green valley with a winding river bordered by dense forests. In the background, cloud-covered mountains create a dramatic and tranquil landscape.",0.6653564423322678,0.0864398255944252
"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",Orogeny,"A scenic view of a large lake surrounded by mountains and greenery, with small towns nestled along the lake's edges. The sky is partly cloudy, adding depth to the landscape.",0.6532013416290283,0.011192718520760536
"Oberaargletscher_from_Oberaar,_2010_07.jpeg",Orogeny,"A glacier flows between steep, rocky mountains under a cloudy sky, leading into a greenish, glacier-fed lake in the foreground. Snow and ice are visible on the peaks and along the glacier's path, while the dark clouds lend a dramatic atmosphere to the scene.",0.8620770275592804,0.1872834861278534
"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04.jpg",Roof,"The image shows a Serbian Orthodox church built in a traditional Byzantine style, characterized by its red and tan brick patterns, multiple domes, and gold crosses atop the domes. The church is set against a partly cloudy sky with a paved open area in the foreground.",0.8645977079868317,0.2771330177783966
Dreifaltigkeitskirche_süd.jpg,Roof,"A red brick church with a tall bell tower and pointed steeple, topped with a weather vane, stands under a clear blue sky. In the foreground, there is a cemetery with various gravestones of different shapes and colors.",0.6671639531850815,0.34643715620040894
1599px-Paris_Notre-Dame_East_View_02.jpeg,Roof,"The image shows the rear view of Notre-Dame Cathedral in Paris, featuring its ornate Gothic architecture and spire, surrounded by lush trees and a garden. A stone fountain with a statue stands in the foreground under a clear blue sky.",0.9380723536014557,0.21946999430656433
"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",Tableware,"A dining table is set with a large roasted turkey as the centerpiece, surrounded by floral china plates, glassware, and a flower arrangement. A person is opening a bottle of champagne, and bookshelves filled with books are in the background under a blue pendant lamp.",1.0009519755840302,0.5278898477554321
"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",Tableware,"A dining table is set for a meal with a variety of dishes including sliced turkey, peas, mashed potatoes, a green salad, deviled eggs, and cranberry sauce, all on a plaid tablecloth. Red plastic cups and white dinner plates are arranged at each place setting.",0.8469849079847336,0.6320769786834717
Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,Tableware,"Chefs are busy in a professional kitchen, closely collaborating as they carefully arrange food on a long row of plates, preparing multiple identical dishes. The kitchen is well-equipped, bustling with activity, and the chefs are focused on their task.",0.7675421983003616,0.4682519733905792
Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire.jpg,Window,"A cozy living room with wicker furniture is arranged around a central table, featuring multiple large windows. The room includes a wood-burning stove, shelves with decorative items, and a paper lantern hanging from the ceiling.",0.800609290599823,0.326074481010437
wiki_livingroom.jpg,Window,Three people are relaxing in a cozy living room with wooden beams and a brick fireplace. They are sitting on floral-patterned sofas around a wooden coffee table.,0.7934395968914032,0.14846134185791016
Wohnzimmer_Fallada_1.JPG,Window,"The image shows a dining room with a round wooden table and four chairs, illuminated by a ceiling light with five lamps. In the background, there's a cabinet displaying china, a large window with sheer curtains, and an open doorway leading to a bright room with a bookshelf and plants.",0.7995538413524628,0.23725783824920654
