context,img_id,img_file,description,article_text,sighted_overall,sighted_relevance,sighted_reconstruct,blv_overall,blv_relevance,blv_reconstruct,clipscore,context_sim
Advertising,soccer_in_progress10,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg","Two soccer players are standing, both have white uniforms and white stripes with Red Bull advertising. Between them is a player on his knees in a maroon uniform. They are all going for the same soccer ball. There is a referee in blue and black behind them, and adveetisements for four or five companies on the walls of the stadium.","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short.",5.0,5.0,4.5,,,,0.7015082240104675,0.32153165340423584
Advertising,soccer_in_progress10,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg",The image shows a soccer game with a player in red jersey competing with two players in white jerseys. A red bull logo can be seen on the white jersey. Advertisement boards are in the back.,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short.",3.5,3.5,4.5,,,,0.8123864978551865,0.2430426925420761
Advertising,soccer_in_progress10,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg",There is a professional soccer match and a guy in red fall and is holding another opponent jersey. There is banners around fence of field.,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short.",1.5,1.0,4.0,,,,0.6120028346776962,0.17654454708099365
Advertising,soccer_in_progress10,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg","Soccer players on the field, in front of signs in the stadium displaying advertisements.","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short.",3.0,3.0,3.0,,,,0.6488101184368134,0.4171026051044464
Advertising,soccer_in_progress10,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg",A soccer match between two teams. One team is wearing a white jersey with Red Bull advertising. There are also signs in the background with advertising as well.,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short.",3.0,4.0,4.5,,,,0.7957422733306885,0.4081685543060303
Advertising,soccer_in_progress10,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg","This picture is of a soccer match.  One player is kneeling on the ground while two other players from the opposing team are nearby, trying to get the ball.  The player on the ground is grabbing the leg of one of his opponents. An official is hurrying to the scene.","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short.",1.0,1.0,3.0,,,,0.7300668954849243,0.11931400746107101
Advertising,soccer_in_progress10,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg","A professional soccer match, with many banners along the sidelines that contain the names of various companies.","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short.",3.0,3.0,4.0,,,,0.644943118095398,0.31779152154922485
American cuisine,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",4.0,3.6666666666666665,4.0,,,,0.8055600523948669,0.3371351957321167
American cuisine,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,There are 6 people in a restaurant kitchen prepping more than 25 dishes of the same food. Each plate has a thin and medium length piece of meat and some green leafs on top. The people prepping the food are all males except one female. They are all dress very similar with either a white or black apron.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",3.6666666666666665,4.0,4.333333333333333,,,,0.7708454877138138,0.27934765815734863
American cuisine,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A table and chairs, set with six places, and laid with a green and red plaid tablecoth. There are red solo cups at each place. The table is also set with typical American Thanksgiving foods, including: turkey, mashed potatoes, cranberry sauce, mixed salad, squash, sweet potatoes, devilled eggs, and pumpkin pie.","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",4.0,3.75,5.0,,,,0.8884895592927933,0.2994709014892578
American cuisine,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A table is set with a large turkey while a person is opening a bottle of wine.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",4.666666666666667,4.666666666666667,5.0,3.75,3.5,4.25,0.910319983959198,0.16202865540981293
American cuisine,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A table with a tablecloth with empty place setting and many foods in bowls in the middle.  The table is set with paper napkins, metal utensils, and plastic cups.  The bowls of food are some typical foods of American cuisine.","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",3.0,5.0,4.0,,,,0.823444053530693,0.49018004536628723
American cuisine,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",It's a bunch of food from America. It's set up on a table.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",3.0,2.75,3.25,,,,0.7035835087299347,0.42338326573371887
American cuisine,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A table is set in a home and a turkey and wine are on the table.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",4.0,4.0,5.0,3.25,3.5,4.0,0.8090263605117798,0.24907609820365906
American cuisine,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",A table is set with dishes and silverware for five.  The food is on the table as well and ready to be served when the people arrive.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",4.0,4.0,3.0,,,,0.7508029788732529,0.26277559995651245
American cuisine,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,A group of kitchen workers preparing a large number of plates with food. They are not wearing gloves.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",2.3333333333333335,2.6666666666666665,3.6666666666666665,,,,0.7247595489025116,0.1792260706424713
American cuisine,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,The image is of a commercial kitchen where seven people are plating food. The food is very sparse on each plate. The plates are white and the people are dressed in white shirts with white or dark colored aprons.  It looks like each person is adding their assigned ingredient to the dish.  The people are primarily white males with one Asian female included. I believe the dish is a strip of meat with greens on top.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",3.0,2.0,3.0,,,,0.7734306156635284,0.31625643372535706
American cuisine,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,"a group of kitchen workers and chefs, mostly in white coats, work on a large number of plated dishes on a center kitchen island. they are located in restaurant kitchen.","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",4.0,4.0,4.0,,,,0.7315409928560257,0.2710011303424835
American cuisine,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,A group of chefs is preparing a meal,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",3.5,4.0,4.5,,,,0.7666704058647156,0.29590821266174316
American cuisine,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg","A typical American dinner, as presented for a special occasion or holiday.","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",2.25,2.0,2.75,1.25,1.5,1.5,0.8126503974199295,0.4237617254257202
American cuisine,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",4.5,4.5,4.5,,,,0.8568652719259262,0.25470787286758423
American cuisine,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",3.4,3.8,4.2,3.75,3.75,3.75,0.7863026857376099,0.27012860774993896
American cuisine,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A typical American holiday dinner table is shown and the main course is a roasted turkey.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",4.5,4.5,4.5,,,,0.9011808037757874,0.4001428186893463
American cuisine,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,A group of chefs are preparing many plates of American food in a large kitchen.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",4.0,4.0,4.0,,,,0.8021112531423569,0.46749135851860046
American cuisine,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A turkey that is sitting on a cutting board on a dining room table next to a bottle of wine.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",4.333333333333333,4.333333333333333,4.666666666666667,,,,0.7949982583522797,0.16193217039108276
American cuisine,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,Several members of a kitchen staff plating multiple plates of food in a professional kitchen,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",2.5,1.0,3.5,,,,0.7737703621387482,0.19611255824565887
American cuisine,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",The camera looks down on a table groaning with colorful foods arranged in many serving bowls on a bright red plaid tablecloth.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",5.0,5.0,5.0,,,,0.8714903891086578,0.3048778176307678
American cuisine,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,"The image depicts a group of people dressed in a chef’s costume, using what would be the main meals of a restaurant as part of the restaurant’s cuisine. Food dishes are a kind of thin, rectangular roasted meat with a green touch on top.","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States.",5.0,5.0,5.0,,,,0.6803436577320099,0.3793444037437439
Body of water,mountains16,"Oberaargletscher_from_Oberaar,_2010_07.jpeg",A vast mountain valley with glaciers in the higher altitudes and a lake at the bottom.,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water.",3.25,3.0,4.5,,,,0.772159993648529,0.309001088142395
Body of water,mountains18,river.jpeg,A large river flowing across the land,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water.",3.5,3.8333333333333335,4.666666666666667,2.25,3.0,3.25,0.6235522031784058,0.3999740183353424
Body of water,mountains9,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg","A beautiful, large lake surrounded by hills and mountains.  The sky is bright with some clouds.  Homes appear in some of the landscape.","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water.",2.0,3.0,4.0,,,,0.642320066690445,0.3368649482727051
Body of water,mountains9,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",A large body of water sandwiched between two large mountainous land masses.,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water.",3.375,3.5,3.875,3.0,3.75,4.5,0.6884040683507919,0.4999711811542511
Body of water,mountains18,river.jpeg,This shows a river cutting through some mountains.,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water.",5.0,5.0,4.666666666666667,,,,0.6323076784610748,0.22648026049137115
Body of water,mountains9,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",body of water,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water.",3.5,3.75,3.75,,,,0.5955784395337105,0.7253766059875488
Body of water,mountains18,river.jpeg,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water.",4.833333333333333,4.666666666666667,4.5,4.25,4.5,4.25,0.6521491706371307,0.2688784599304199
Body of water,mountains18,river.jpeg,The image shows a winding river in a forested area.,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water.",4.0,5.0,5.0,,,,0.6236698478460312,0.1969679296016693
Body of water,mountains9,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",A city is visible in the hills and mountains surrounding a body of water.,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water.",4.0,4.5,3.0,,,,0.7123784720897675,0.29558926820755005
